Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
9,2020-12-25,Michigan State,76,REG (Conf),W,85,Michigan State,76,,27,27,51,57,.529,.474,8,8,19,11,.421,.727,19,19,32,46,.594,.413,.608,.544,23,14,30,16,.767,.875,3,9,23,20,26,29,18,23,7,2,4,0,6,14,16,26,2021
10,2020-12-28,Maryland,70,REG (Conf),L,64,Maryland,70,,24,26,55,52,.436,.500,8,6,21,17,.381,.353,16,20,34,35,.471,.571,.509,.558,8,12,15,15,.533,.800,7,4,21,27,28,31,12,11,3,3,1,5,6,9,15,17,2021
11,2020-12-31,Minnesota,59,REG (Conf),W,71,Minnesota,59,,30,20,59,64,.508,.313,6,7,15,31,.400,.226,24,13,44,33,.545,.394,.559,.367,5,12,8,14,.625,.857,8,15,27,23,35,38,12,12,3,1,3,6,9,10,15,15,2021
12,2021-01-07,Indiana,73,REG (Conf),W,80,Indiana,73,2OT,28,30,66,62,.424,.484,8,8,19,21,.421,.381,20,22,47,41,.426,.537,.485,.548,16,5,20,8,.800,.625,5,1,28,30,33,31,14,19,10,2,0,7,7,13,14,19,2021
13,2021-01-12,Michigan,77,REG (Conf),L,54,Michigan,77,,20,32,65,62,.308,.516,9,9,28,16,.321,.563,11,23,37,46,.297,.500,.377,.589,5,4,6,4,.833,1.000,7,8,21,33,28,41,8,13,4,6,2,9,10,8,6,9,2021
14,2021-01-15,Rutgers,54,REG (Conf),W,60,Rutgers,54,,19,25,54,67,.352,.373,6,2,25,19,.240,.105,13,23,29,48,.448,.479,.407,.388,16,2,21,7,.762,.286,7,17,26,30,33,47,10,6,10,6,9,4,9,12,17,19,2021
15,2021-01-20,Northwestern,52,REG (Conf),W,68,Northwestern,52,,24,21,55,51,.436,.412,10,7,27,23,.370,.304,14,14,28,28,.500,.500,.527,.480,10,3,11,7,.909,.429,4,2,25,23,29,25,14,10,5,3,2,2,8,10,13,17,2021
16,2021-01-23,Ohio State,74,REG (Conf),L,62,Ohio State,74,,23,27,57,53,.404,.509,7,5,28,16,.250,.313,16,22,29,37,.552,.595,.465,.557,9,15,15,18,.600,.833,5,3,22,28,27,31,14,9,7,6,4,2,9,11,19,16,2021
17,2021-01-27,Maryland,55,REG (Conf),W,61,Maryland,55,,22,19,56,53,.393,.358,10,9,26,30,.385,.300,12,10,30,23,.400,.435,.482,.443,7,8,7,9,1.000,.889,7,3,29,23,36,26,11,12,4,6,2,3,12,9,15,13,2021
18,2021-01-30,Penn State,81,REG (Conf),L,71,Penn State,81,,29,27,66,60,.439,.450,7,8,28,24,.250,.333,22,19,38,36,.579,.528,.492,.517,6,19,8,25,.750,.760,10,5,28,28,38,33,14,14,2,6,5,1,12,6,21,10,2021
19,2021-02-02,Penn State,56,REG (Conf),W,72,Penn State,56,,25,22,52,57,.481,.386,9,6,18,24,.500,.250,16,16,34,33,.471,.485,.567,.439,13,6,16,10,.813,.600,8,10,23,14,31,24,16,10,8,6,1,3,15,13,13,16,2021
20,2021-02-06,Illinois,75,REG (Conf),L,60,Illinois,75,,25,28,60,53,.417,.528,4,5,24,16,.167,.313,21,23,36,37,.583,.622,.450,.575,6,14,11,21,.545,.667,2,10,17,34,19,44,6,16,10,8,4,1,11,18,16,10,2021
21,2021-02-10,Nebraska,48,REG (Conf),W,61,Nebraska,48,,20,18,62,49,.323,.367,9,5,32,15,.281,.333,11,13,30,34,.367,.382,.395,.418,12,7,17,17,.706,.412,7,8,25,32,32,40,12,13,9,5,3,2,7,17,16,19,2021
22,2021-02-14,Michigan,67,REG (Conf),L,59,Michigan,67,,21,24,54,59,.389,.407,6,7,19,17,.316,.412,15,17,35,42,.429,.405,.444,.466,11,12,12,16,.917,.750,3,9,22,23,25,32,11,11,5,5,5,6,9,5,18,10,2021
23,2021-02-18,Iowa,77,REG (Conf),L,62,Iowa,77,,21,26,70,51,.300,.510,13,12,34,19,.382,.632,8,14,36,32,.222,.438,.393,.627,7,13,12,19,.583,.684,15,6,19,34,34,40,13,16,3,2,4,4,5,11,19,13,2021
